,GSM,GSE,Input,Output
15844,,,"ChIP-seq on transgenic flies expressing -eGFP fusion proteins. The IP was performed using an anti-GFP antibody. attP40 whole organism embryo (0-10 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to stwl = ",Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: stwl - Genome assembly: dm6 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 0-10 - Age units: hour - Sex: unknown - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: chromatin remodeler $
104,,GSE101029, GM12878 = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: KDM1A - Genome assembly: GRCh38,hg19 - Biosample term name: GM12878 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: unknown - Age units: None - Sex: female - Ethnicity: Caucasian - Health status: unknown - Classification: cell line - Investigated as: chromatin remodeler $"
2824,GSM605302,,"molecule: genomic DNA; disease: None; biomaterial_provider: James Thompson Laboratory; biomaterial_type: Cell Line; line: H1; lineage: Embryonic Stem Cell; differentiation_stage: None; differentiation_method: None; passage: Between 20 and 40; medium: mTeSER; Sex: Male; batch: H1U; experiment_type: Histone H2BK5ac; extraction_protocol: See http://bioinformatics-renlab.ucsd.edu/RenLabChipProtocolV1.pdf; extraction_protocol_type_of_sonicator: Biorupter; extraction_protocol_sonication_cycles: 80; chip_protocol: See http://bioinformatics-renlab.ucsd.edu/RenLabChipProtocolV1.pdf; chip_protocol_chromatin_amount: 500 micrograms; chip_protocol_bead_type: magnetic anti-rabbit; chip_protocol_bead_amount: 33,500,000; chip_protocol_antibody_amount: 5 micrograms; chip_antibody: H2BK5ac; chip_antibody_provider: Abcam; chip_antibody_catalog: ab40886; chip_antibody_lot: 529107  H1 Human embryonic stem cells received from the James Thomson laboratory. Cells are from the H1 line and were cultured on plates coated with fibronectin and human collagen. The medium used was: 50% StemLine II serum-free HSC expansion medium (HSFEM; Sigma), 50% ESFM, GlutaMAX (1/100 dilution), Ex-Cyte supplement (1/2000 dilution), 100 mM MTG, and 10 ng/ml FGF2. = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H2BK5ac - Genome assembly: GRCh38,hg19 - Biosample term name: H1 - Project: Roadmap - Organism: Homo sapiens - Life stage: embryonic - Age: unknown - Age units: None - Sex: male - Ethnicity: None - Health status: healthy - Classification: cell line - Investigated as: histone $"
2532,,,"Input control for ChIP-seq on transgenic flies expressing YL-1-eGFP fusion proteins. strain YL-1-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to YL-1 = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 0-24 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $"
10552,GSM803350,,"datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell description: B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus; antibody antibodydescription: Rabbit polyclonal. Antibody Target: SRF; antibody targetdescription: Serum response transcription factor; antibody vendorname: Santa Cruz Biotechnology; antibody vendorid: sc-335; protocol description: a 25-cycle round of PCR and an additional 15-cycle round of PCR after gel size selection (Myers); controlid: SL217,SL218; labexpid: SL292,SL291; labversion: PCR2x; labversion description: a 25-cycle round of PCR and an additional 15-cycle round of PCR after gel size selection (Myers); replicate: 1,2; softwareversion: MACS; antibody vendorid: sc-335; treatment: None; treatment description: No special treatment or protocol applies; protocol: PCR2x; protocol description: 2-cycles of PCR (Myers); controlid: SL217; labexpid: SL291; replicate: 1; replicate description: tier 1 SRF ChIP-seq protocol PCR2x on human GM12878 GM12878 B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: SRF - Genome assembly: GRCh38,hg19 - Biosample term name: GM12878 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: unknown - Age units: None - Sex: female - Ethnicity: Caucasian - Health status: unknown - Classification: cell line - Investigated as: transcription factor $"
14301,,,Myoblast cell line derived from thigh muscle of C3H mice after crush injury C3H C2C12 Myoblast cell line derived from thigh muscle of C3H mice after crush injury = ,Assay name: long read RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: mm10 - Biosample term name: C2C12 - Project: ENCODE - Organism: Mus musculus - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: None $
4903,,,UW human K562 DNase-seq P5 wild type K562 = ,Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: None $
7100,GSM1000146,,"lab: LICR-m; lab description: Ren - Ludwig Institue for Cancer Research; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell: Spleen; cell organism: mouse; cell description: Spleen; cell sex: M; antibody: H3K27me3; antibody antibodydescription: rabbit polyclonal. Antibody Target: H3K27me3; antibody targetdescription: Histone H3 (tri-methyl K27). Marks promoters that are silenced by Polycomb proteins in a given lineage; large domains are found at inactive developmental loci.; antibody vendorname: Millipore; antibody vendorid: 07-449; age: adult-8wks; age description: Adult 8 weeks; age: adult-8wks; age description: Adult 8 weeks; control: std; control description: Standard input signal for most experiments.; controlid: wgEncodeEM001459; labversion: Pooled & filtered; softwareversion: MACS; strain: C57BL/6; strain description: C57 black 6, the most common inbred strain of laboratory mouse H3K27me3 ChIP-seq on 8-week mouse spleen C57BL/6 spleen male adult (8 weeks) Spleen from multiple mice = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K27me3 - Genome assembly: mm9,mm10 - Biosample term name: spleen - Project: ENCODE - Organism: Mus musculus - Life stage: adult - Age: 8 - Age units: week - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,broad histone mark $"
10304,GSM803531,,"datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell description: B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus; antibody antibodydescription: Rabbit Polyclonal IgG. Antibody Target: PU1; antibody targetdescription: PU.1 (H-135); antibody vendorname: Santa Cruz Biotechnology; antibody vendorid: sc-22805; protocol description: one 15-cycle round of PCR (Myers); controlid: SL1394,SL516; labexpid: SL612,SL963,SL649; labversion: SL649; replicate: 1,3,2; softwareversion: MACS; antibody vendorname: Santa Cruz Biotech; antibody vendorid: sc-22805; treatment: None; treatment description: No special treatment or protocol applies; protocol: PCR1x; protocol description: 1-cycle of PCR (Myers); controlid: SL516; labexpid: SL612; replicate: 1; replicate description: tier 1 SPI1 ChIP-seq protocol PCR1x on human GM12878 GM12878 B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: SPI1 - Genome assembly: GRCh38,hg19 - Biosample term name: GM12878 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: unknown - Age units: None - Sex: female - Ethnicity: Caucasian - Health status: unknown - Classification: cell line - Investigated as: chromatin remodeler $"
14650,,,ChIP-seq on transgenic flies expressing p53-eGFP fusion proteins. The IP was performed using an anti-GFP antibody. MI01307 whole organism embryo (0-24 hours) genetically modified using site-specific recombination D. mel line contraining an intronic eGFP exon to create a p53-GFP fusion gene = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: p53 - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 0-24 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $"
7126,GSM1006886,,"datatype: ChipSeq; datatype description: Chromatin IP Sequencing; antibody antibodydescription: Rabbit polyclonal. Antibody Target: CTCF; antibody targetdescription: CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.; antibody vendorname: Millipore; antibody vendorid: 07-729; controlid: wgEncodeEH003451; labversion: baseAlignCounts.pl v 1,fseq v 1.84, iff_Kidney,p-value cutoff: 0.05; replicate: 1,3,2; antibody: CTCF; antibody antibodydescription: rabbit polyclonal. Antibody Target: CTCF; antibody targetdescription: CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.; antibody vendorname: Millipore; antibody vendorid: 07-729; controlid: wgEncodeEH003451; labversion: baseAlignCounts.pl v 1; replicate: 1 CTCF ChIP-seq on human kidney kidney male adult (22 years) and male adult (27 years) and male adult (35 years) Primary frozen kidney Tissue from NICHD donor ID 602 (Rep B2 DNase),Primary frozen kidney Tissue from NICHD donor ID 1104 (Rep B1 DNase),Primary frozen kidney Tissue from NICHD donor ID 1442 (Rep B3 DNase) = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: CTCF - Genome assembly: GRCh38,hg19 - Biosample term name: kidney - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 27,35,22 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: control - Classification: tissue - Investigated as: transcription factor $"
7162,,GSE96213, KMS-11 multiple myeloma = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K9ac - Genome assembly: GRCh38,hg19 - Biosample term name: KMS-11 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 67 - Age units: year - Sex: female - Ethnicity: Asian - Health status: None - Classification: cell line - Investigated as: histone,narrow histone mark $"
16045,,,"Input control for ChIP-seq on transgenic flies expressing kni-eGFP fusion proteins. attP-40 whole organism embryo (0-14 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to kni = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 0-14 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $"
12229,,GSE80867,"Control shRNA against no target in HepG2 cells followed by RNA-seq. (NT-BGHLV12-01-02) HepG2 genetically modified using RNAi RNA-seq on HepG2 cells treated with an Control shRNA against no target (NT-BGHLV12-01-93),RNA-seq on HepG2 cells treated with an Control shRNA against no target (NT-BGHLV12-02-94) = ","Assay name: shRNA knockdown followed by RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: HepG2 - Project: ENCODE - Organism: Homo sapiens - Life stage: child - Age: 15 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: hepatocellular carcinoma - Classification: cell line - Investigated as: None $"
6772,,GSE28078,"RNA-seq on polyA-selected RNA from whole flies, post-eclosion + 5-7 day (adult, male) whole organism male adult 5-7 days post synchronization at eclosion stage = ",Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: None - Biosample term name: whole organism - Project: modENCODE - Organism: Drosophila mojavensis - Life stage: adult - Age: unknown - Age units: None - Sex: male - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $
270,GSM970217,,"lab: USC; lab description: Farnham - University of Southern California; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell: MCF-7; cell organism: human; cell description: mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis; cell karyotype: cancer; cell lineage: ectoderm; cell sex: F; treatment: None; treatment description: No special treatment or protocol applies; antibody: H3K36me3B; antibody antibodydescription: rabbit polyclonal. Antibody Target: H3K36me3; antibody targetdescription: Histone H3 (tri-methyl K36) marks actively transcribed chromatin regions; antibody vendorname: Cell Signaling; antibody vendorid: 9763S; control: UCDavis; control description: Input library was prepared at UC Davis.; control: UCDavis; control description: Input library was prepared at UC Davis.; controlid: wgEncodeEH000762; labversion: PeakSeq1.0 H3K36me3 ChIP-seq on human MCF-7 MCF-7 mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K36me3 - Genome assembly: GRCh38,hg19 - Biosample term name: MCF-7 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 69 - Age units: year - Sex: female - Ethnicity: Caucasian - Health status: breast cancer (adenocarcinoma) - Classification: cell line - Investigated as: histone,broad histone mark $"
